species,Code,Habit,Form,Habitat,Phnlgy,Path,STAT,Ref_Voucher
ephedra torreyana,EPTO ,  P  ,SHRUB , BS  ,        SP   ,C3   , NAT , CJ  82 S&W-2807
eragrostis arida,ERMI,,,,,,,
eragrostis cilianensis,ERCI ,  A  ,GRASS , PC  ,        SU   ,C4  I,NTRO , KA 106 S-2356
eragrostis lehmanniana,ERLE ,  P  ,GRASS , BF  ,        SU   ,C4  I,NTRO , KA 109 S-2389
eragrostis pectinacea,ERMI ,  A  ,GRASS , PC  ,        SU   ,C4   , NAT , KA 108 S-2374
eragrostis pectinacea,ERPE ,  A  ,GRASS , PC  ,        SU   ,C4   , NAT , KA 107
eriastrum diffusum,ERDI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1267 S-2207
ericameria laricifolia,ERLA ,  P  ,SHRUB , MS  ,        SU   ,C3   , NAT , CJ1578
erigeron bellidiastrum,ERBE ,  A  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1607
erigeron divergens,ERDV ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ1606 S-2232
eriogonum abertianum,ERAB ,  A  , FORB , BF  ,     SP-SU   ,C3   , NAT , CJ 516
eriogonum annuum,ERAN ,  A  , FORB , GI  ,     SP-SU   ,.    , .   , CJ 515
eriogonum rotundifolium,ERRO ,  A  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ 516
eriogonum trichopes,ERTR ,  A  , FORB , BS  ,     SP-SU   ,C3   , NAT , KP 238
eriogonum wrightii,ERWR ,  P  , FORB , BF  ,        SU   ,C3   , NAT , CJ 514
erioneuron pulchellum,DAPU,,,,,,,
erodium cicutarium,ERCC ,  A  , FORB , BS  ,        SP   ,C3  I,NTRO , CJ 892
erodium texanum,ERTE ,  A  , FORB , BS  ,        SP   ,C3   , NAT , CJ 892
erysimum capitatum,ERCA ,  P  , FORB ," CG,G",S    SP-SU   ,.    , NAT , CJ 688
eschscholzia mexicana,ESME ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 662 S-2209
eucrypta micrantha,EUMC ,  A  , FORB , MS  ,        SP   ,C3   , NAT , CJ1274
euphorbia albomarginata,EUAL ,  P  , FORB , BS  ,     SP-SU   ,C4   , NAT , CJ 980 S-2352
euphorbia dentata,EUDE ,  A  , FORB , GS  ,     SP-SU   ,C4   , NAT , CJ 970
euphorbia glyptosperma,EUGL ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 977 S-2354
euphorbia micromera,EUMI ,  A  , FORB , BF  ,        SU   ,C4   , NAT , CJ 978 S-2349
euphorbia parryi,EUPA ,  A  , FORB ,     ,        SU   ,.    , NAT , CJ 973
euphorbia revoluta,EURE ,  A  , FORB , BF  ,        SU   ,C4   , NAT , CJ 974
euphorbia serpyllifolia,EUSR ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 976 S-2375
euphorbia serrula,EUSE ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 983 S-2350
euphorbia setiloba,EUST ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 981
evolvulus nuttallianus,EVNU ,  P  , FORB , GI  ,     SP-SU   ,.    , NAT , CJ1244
fallugia paradoxa,FAPA ,  P  ,SHRUB , BA  ,     SP-SU   ,C3   , NAT , CJ 750
ferocactus wislizenii,FEWI ,  P  ,ST-SU , BF  ,        SU  C,AM   , NAT , CJ1103
flourensia cernua,FLCE ,  P  ,SHRUB , BS  ,        SU   ,C3   , NAT , CJ1653
fouquieria splendens,FOSP ,  P  ,SHRUB , MS  ,     SP-SU   ,C3   , NAT , CJ1070
froelichia arizonica,FRAR ,  P  , FORB , .   ,        SU   ,.    , NAT , CJ 570
gaillardia pinnatifida,GAPI ,  P  , FORB , GI  ,     SP-SU   ,.    , NAT , CJ1673
galium microphyllum,GAMI ,  P  , FORB , MS  ,     SP-SU   ,.    , NAT , CJ1482
gaura parviflora,GAPA ,  A  , FORB , PC  ,     SP-SU   ,C3   , NAT , CJ1124
garrya wrightii,GAWR ,  P  ,SHRUB , .   ,        SU   ,.    , NAT , CJ1171
gilia flavocincta,GIFL ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1266 S-2213
gilia mexicana,GIME ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1266
gilia sinuata,GISI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , KP 691
grindelia squarrosa,GRSQ ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1571
haplopappus laricifolius,ERLA,,,,,,,
haplopappus gracilis,HAGR ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1583
hedyotis humifusa,HEHU ,  A  , FORB , UP13,     SP-SU   ,.    , NAT , CJ1489
helianthus annuus,HEAN ,  A  , FORB , GS  ,        SU   ,.    , NAT , CJ1641
helianthus ciliaris,HECI ,  P  , FORB , PC  ,        SU   ,C3   , NAT , CJ1651 L-1223
helianthus petiolaris,HEPE ,  A  , FORB , GI  ,        SU   ,.    , .   , CJ1652
heliotropium convolvulaceum,HECO ,  A  , FORB , GI  ,        SU   ,.    , NAT , CJ1290
heliotropium greggii,HEGR ,  P  , FORB , .   ,     SP-SU   ,.    , NAT , CJ1289
heterotheca fulcrata,HEFU ,  P  , FORB , MS  ,     SP-SU   ,C3   , NAT , CJ1568 S-1941
hilaria mutica,PLMU,,,,,,,
